"<TYPE>","<TICKER>","<TAS.SEQ>","<ACTIVITY.DATETIME>","<BID.PRICE>","<BID.SIZE>"
"Q","BZTF21",617,2020-09-03 20:28:34.7202,-1.75,38
"Q","BZTF21",619,2020-09-03 20:28:34.7202,-1.75,34
"Q","BZTF21",621,2020-09-03 20:28:34.7202,-1.75,31
"Q","BZTF21",623,2020-09-03 20:28:34.727,-1.75,28
"Q","BZTF21",625,2020-09-03 20:28:34.727,-1.75,31
"Q","BZTF21",627,2020-09-03 20:28:34.7437,-1.75,41
"Q","BZTF21",629,2020-09-03 20:28:34.7565,-1.75,44
"Q","BZTF21",631,2020-09-03 20:28:34.8148,-1,5
"Q","BZTF21",633,2020-09-03 20:28:35.1776,-1.25,5
"Q","BZTF21",635,2020-09-03 20:28:35.1776,-1.5,5
"Q","BZTF21",637,2020-09-03 20:28:35.1776,-1.75,37
"Q","BZTF21",639,2020-09-03 20:28:35.4375,-1.75,44
"Q","BZTF21",641,2020-09-03 20:28:35.4968,-1.75,47
"Q","BZTF21",643,2020-09-03 20:28:35.5239,-1.75,57
"Q","BZTF21",645,2020-09-03 20:28:35.5239,-1.75,60
"Q","BZTF21",647,2020-09-03 20:28:35.6272,-1.75,57
"Q","BZTF21",649,2020-09-03 20:28:35.6322,-1.75,47
"Q","BZTF21",651,2020-09-03 20:28:35.6422,-1.75,46
"Q","BZTF21",653,2020-09-03 20:28:35.6422,-1.75,43
"Q","BZTF21",655,2020-09-03 20:28:35.7222,-1.75,47
"Q","BZTF21",657,2020-09-03 20:28:35.764,-1.75,46
"Q","BZTF21",659,2020-09-03 20:28:35.8647,-1,5
"Q","BZTF21",661,2020-09-03 20:28:36.7979,-1.25,5
"Q","BZTF21",663,2020-09-03 20:28:36.7979,-1.5,60
"Q","BZTF21",665,2020-09-03 20:28:36.7979,-1.5,55
"Q","BZTF21",667,2020-09-03 20:28:36.8066,-2,72
"Q","BZTF21",668,2020-09-03 20:28:36.8066,-2,101
"Q","BZTF21",670,2020-09-03 20:28:36.8121,-2,94
"Q","BZTF21",672,2020-09-03 20:28:36.8121,-2,99
"Q","BZTF21",674,2020-09-03 20:28:36.8185,-2,86
"Q","BZTF21",676,2020-09-03 20:28:36.8347,-2,76
"Q","BZTF21",678,2020-09-03 20:28:36.8347,-2,70
"Q","BZTF21",680,2020-09-03 20:28:36.8347,-2,64
"Q","BZTF21",682,2020-09-03 20:28:36.8398,-2,63
"Q","BZTF21",684,2020-09-03 20:28:36.9395,-2,73
"Q","BZTF21",686,2020-09-03 20:28:36.9904,-2,63
"Q","BZTF21",688,2020-09-03 20:28:37.1104,-2,69
"Q","BZTF21",690,2020-09-03 20:28:37.1169,-2,63
"Q","BZTF21",692,2020-09-03 20:28:37.1169,-2,69
"Q","BZTF21",694,2020-09-03 20:28:37.1169,-2,72
"Q","BZTF21",696,2020-09-03 20:28:37.1408,-2,76
"Q","BZTF21",698,2020-09-03 20:28:37.1664,-2,72
"Q","BZTF21",700,2020-09-03 20:28:37.1664,-2,69
"Q","BZTF21",702,2020-09-03 20:28:37.1664,-2,66
"Q","BZTF21",704,2020-09-03 20:28:37.2066,-2,72
"Q","BZTF21",706,2020-09-03 20:28:37.3202,-2,75
"Q","BZTF21",708,2020-09-03 20:28:37.4199,-2,85
"Q","BZTF21",710,2020-09-03 20:28:37.4199,-2,98
"Q","BZTF21",712,2020-09-03 20:28:37.4199,-2,104
"Q","BZTF21",714,2020-09-03 20:28:37.4199,-2,117
"Q","BZTF21",716,2020-09-03 20:28:37.4286,-2,126
"Q","BZTF21",718,2020-09-03 20:28:37.4286,-2,133
"Q","BZTF21",720,2020-09-03 20:28:37.4286,-2,136
"Q","BZTF21",722,2020-09-03 20:28:37.4286,-2,123
"Q","BZTF21",724,2020-09-03 20:28:37.4286,-1.75,3
"Q","BZTF21",726,2020-09-03 20:28:37.4329,-2,5
"Q","BZTF21",727,2020-09-03 20:28:37.4329,-2,17
"Q","BZTF21",729,2020-09-03 20:28:37.4329,-2,12
"Q","BZTF21",731,2020-09-03 20:28:37.4383,-1.75,3
"Q","BZTF21",733,2020-09-03 20:28:37.4383,-2,102
"Q","BZTF21",735,2020-09-03 20:28:37.444,-1.75,3
"Q","BZTF21",737,2020-09-03 20:28:37.449,-2,102
"Q","BZTF21",739,2020-09-03 20:28:37.449,-1.75,3
"Q","BZTF21",741,2020-09-03 20:28:37.455,-2,109
"Q","BZTF21",743,2020-09-03 20:28:37.46,-2,108
"Q","BZTF21",745,2020-09-03 20:28:37.4722,-2,105
"Q","BZTF21",747,2020-09-03 20:28:37.5072,-1,5
"Q","BZTF21",749,2020-09-03 20:28:37.5184,-1.25,5
"Q","BZTF21",751,2020-09-03 20:28:37.5235,-1.5,5
"Q","BZTF21",753,2020-09-03 20:28:37.5235,-2,105
"Q","BZTF21",755,2020-09-03 20:28:37.5286,-2,110
"Q","BZTF21",757,2020-09-03 20:28:37.5552,-1.75,3
"Q","BZTF21",759,2020-09-03 20:28:37.561,-2,5
"Q","BZTF21",760,2020-09-03 20:28:37.561,-2,113
"Q","BZTF21",762,2020-09-03 20:28:37.5989,-2,110
"Q","BZTF21",764,2020-09-03 20:28:37.637,-2,84
"Q","BZTF21",766,2020-09-03 20:28:37.6551,-2,78
"Q","BZTF21",768,2020-09-03 20:28:37.8219,-2,77
"Q","BZTF21",770,2020-09-03 20:28:38.1375,-2,83
"Q","BZTF21",772,2020-09-03 20:28:38.1543,-2,86
"Q","BZTF21",774,2020-09-03 20:28:38.3323,-2,89
"Q","BZTF21",776,2020-09-03 20:28:38.3432,-2,86
"Q","BZTF21",778,2020-09-03 20:28:38.3432,-2,89
"Q","BZTF21",780,2020-09-03 20:28:38.3432,-2,95
"Q","BZTF21",782,2020-09-03 20:28:38.3541,-2,23
"Q","BZTF21",784,2020-09-03 20:28:38.3541,-2,17
"Q","BZTF21",786,2020-09-03 20:28:38.3541,-2,14
"Q","BZTF21",788,2020-09-03 20:28:38.3541,-2,11
"Q","BZTF21",790,2020-09-03 20:28:38.3541,-1.75,3
"Q","BZTF21",792,2020-09-03 20:28:38.3541,-1.75,6
"Q","BZTF21",794,2020-09-03 20:28:38.3541,-1.75,3
"Q","BZTF21",796,2020-09-03 20:28:38.3651,-2,5
"Q","BZTF21",797,2020-09-03 20:28:38.3651,-2,105
"Q","BZTF21",799,2020-09-03 20:28:38.4256,-2,104
"Q","BZTF21",801,2020-09-03 20:28:38.5033,-2,98
"Q","BZTF21",803,2020-09-03 20:28:38.54,-2,89
"Q","BZTF21",805,2020-09-03 20:28:38.54,-2,85
"Q","BZTF21",807,2020-09-03 20:28:38.5603,-2,185
"Q","BZTF21",809,2020-09-03 20:28:38.5603,-2,191
"Q","BZTF21",811,2020-09-03 20:28:38.5664,-2,194
"Q","BZTF21",813,2020-09-03 20:28:38.5664,-2,191
"Q","BZTF21",815,2020-09-03 20:28:38.5664,-2,188
"Q","BZTF21",817,2020-09-03 20:28:38.5664,-2,185
"Q","BZTF21",819,2020-09-03 20:28:38.6055,-2,191
"Q","BZTF21",821,2020-09-03 20:28:38.6367,-2,197
"Q","BZTF21",823,2020-09-03 20:28:38.6425,-2,200
"Q","BZTF21",825,2020-09-03 20:28:38.6487,-2,197
"Q","BZTF21",827,2020-09-03 20:28:38.6839,-2,200
"Q","BZTF21",829,2020-09-03 20:28:38.7281,-1.75,3
"Q","BZTF21",831,2020-09-03 20:28:38.7281,-1.75,6
"Q","BZTF21",833,2020-09-03 20:28:38.8185,-1.75,3
"Q","BZTF21",835,2020-09-03 20:28:38.8185,-2,196
"Q","BZTF21",837,2020-09-03 20:28:38.8185,-2,199
"Q","BZTF21",839,2020-09-03 20:28:38.8242,-2,196
"Q","BZTF21",841,2020-09-03 20:28:38.8242,-2,193
"Q","BZTF21",843,2020-09-03 20:28:38.8242,-2,190
"Q","BZTF21",845,2020-09-03 20:28:38.8622,-2,193
"Q","BZTF21",847,2020-09-03 20:28:38.8622,-2,190
"Q","BZTF21",849,2020-09-03 20:28:38.8675,-2,187
"Q","BZTF21",851,2020-09-03 20:28:38.9312,-2,186
"Q","BZTF21",853,2020-09-03 20:28:38.9312,-2,193
"Q","BZTF21",855,2020-09-03 20:28:38.961,-2,192
"Q","BZTF21",857,2020-09-03 20:28:38.961,-2,195
"Q","BZTF21",859,2020-09-03 20:28:38.961,-2,196
"Q","BZTF21",861,2020-09-03 20:28:38.9831,-2,195
"Q","BZTF21",863,2020-09-03 20:28:39.0616,-2,192
"Q","BZTF21",865,2020-09-03 20:28:39.0752,-2,189
"Q","BZTF21",867,2020-09-03 20:28:39.1438,-2,195
"Q","BZTF21",869,2020-09-03 20:28:39.1671,-2,201
"Q","BZTF21",871,2020-09-03 20:28:39.1671,-2,195
"Q","BZTF21",873,2020-09-03 20:28:39.1736,-2,194
"Q","BZTF21",875,2020-09-03 20:28:39.1736,-2,189
"Q","BZTF21",877,2020-09-03 20:28:39.1736,-2,188
"Q","BZTF21",879,2020-09-03 20:28:39.3646,-2,187
"Q","BZTF21",881,2020-09-03 20:28:39.4147,-2,193
"Q","BZTF21",883,2020-09-03 20:28:39.5217,-2,196
"Q","BZTF21",885,2020-09-03 20:28:39.528,-2,202
"Q","BZTF21",887,2020-09-03 20:28:39.528,-2,208
"Q","BZTF21",889,2020-09-03 20:28:39.528,-2,211
"Q","BZTF21",891,2020-09-03 20:28:39.528,-2,217
"Q","BZTF21",893,2020-09-03 20:28:39.528,-2,36
"Q","BZTF21",895,2020-09-03 20:28:39.528,-2,35
"Q","BZTF21",897,2020-09-03 20:28:39.528,-2,29
"Q","BZTF21",899,2020-09-03 20:28:39.528,-2,26
"Q","BZTF21",901,2020-09-03 20:28:39.528,-2,20
"Q","BZTF21",903,2020-09-03 20:28:39.528,-2,14
"Q","BZTF21",905,2020-09-03 20:28:39.528,-2,11
"Q","BZTF21",907,2020-09-03 20:28:39.528,-1.75,3
"Q","BZTF21",909,2020-09-03 20:28:39.534,-1.75,6
"Q","BZTF21",911,2020-09-03 20:28:39.5592,-1.75,3
"Q","BZTF21",913,2020-09-03 20:28:39.6766,-1,5
"Q","BZTF21",915,2020-09-03 20:28:42.1697,-1,5
"Q","BZTF21",917,2020-09-03 20:28:42.1697,-1,5
"Q","BZTF21",919,2020-09-03 20:28:42.1697,-1,5
"Q","BZTF21",921,2020-09-03 20:28:42.1697,-1,5
"Q","BZTF21",923,2020-09-03 20:28:42.1781,-1,5
"Q","BZTF21",925,2020-09-03 20:28:42.1832,-1,5
