"","<TYPE>","<TAS.SEQ>","<ACTIVITY.DATETIME>","<BID.PRICE>","<BID.SIZE>","<ASK.PRICE>","<ASK.SIZE>"
"41","Q","190657",2020-09-01 15:08:35.3017,46.78,3,46.81,2
"42","Q","190659",2020-09-01 15:08:35.3017,46.78,2,46.81,2
"43","Q","190661",2020-09-01 15:08:35.3952,46.78,1,46.81,2
"44","Q","190663",2020-09-01 15:08:35.3952,46.77,14,46.81,2
"45","Q","190664",2020-09-01 15:08:35.3952,46.77,15,46.81,2
"46","Q","190666",2020-09-01 15:08:35.8349,46.78,1,46.81,2
"47","Q","190668",2020-09-01 15:08:35.886,46.78,1,46.81,3
"48","Q","190670",2020-09-01 15:08:36.0939,46.78,2,46.81,3
"49","Q","190672",2020-09-01 15:08:36.0939,46.78,3,46.81,3
"50","Q","190674",2020-09-01 15:08:36.0969,46.78,3,46.81,2
"51","Q","190676",2020-09-01 15:08:36.102,46.78,3,46.81,1
"52","Q","190678",2020-09-01 15:08:36.102,46.78,3,46.82,16
"53","Q","190679",2020-09-01 15:08:36.102,46.78,3,46.82,17
"54","Q","889131",2020-09-02 20:24:45.039,45.07,7,45.09,1
"55","Q","889133",2020-09-02 20:24:45.0405,45.07,7,45.1,11
"56","Q","889135",2020-09-02 20:24:45.0405,45.07,8,45.1,11
"57","Q","889137",2020-09-02 20:24:45.0444,45.08,1,45.1,11
"58","Q","889139",2020-09-02 20:24:45.0471,45.07,8,45.1,11
"59","Q","889141",2020-09-02 20:24:45.0503,45.07,7,45.1,11
"60","Q","889143",2020-09-02 20:24:45.1534,45.07,8,45.1,11
"61","Q","889145",2020-09-02 20:24:45.417,45.07,7,45.1,11
"62","Q","889147",2020-09-02 20:24:46.0135,45.07,7,45.09,1
"63","Q","889149",2020-09-02 20:24:46.0135,45.07,6,45.09,1
"64","Q","889151",2020-09-02 20:24:46.0194,45.07,6,45.09,3
"65","Q","889153",2020-09-02 20:24:46.1358,45.07,2,45.09,3
"66","Q","889155",2020-09-02 20:24:46.1358,45.07,3,45.09,3
"67","Q","889157",2020-09-02 20:24:46.8295,45.07,3,45.09,2
"68","Q","889159",2020-09-02 20:24:46.8348,45.07,3,45.1,11
"69","Q","889161",2020-09-02 20:24:47.8827,45.07,3,45.1,10
"70","Q","889163",2020-09-02 20:24:47.9094,45.07,3,45.1,11
"71","Q","889165",2020-09-02 20:24:48.2466,45.07,3,45.09,1
"72","Q","889167",2020-09-02 20:24:48.2466,45.07,3,45.09,2
"73","Q","889169",2020-09-02 20:24:48.2529,45.07,3,45.09,3
"74","Q","889171",2020-09-02 20:24:48.5877,45.07,3,45.09,2
"75","Q","889173",2020-09-02 20:24:48.6974,45.07,3,45.09,3
"76","Q","889175",2020-09-02 20:24:48.7836,45.07,3,45.09,2
"77","Q","889177",2020-09-02 20:24:49.1056,45.07,3,45.09,3
"78","Q","889179",2020-09-02 20:24:49.2748,45.07,3,45.09,2
"79","Q","889181",2020-09-02 20:24:49.2774,45.07,3,45.09,1
"80","Q","889183",2020-09-02 20:24:49.2774,45.07,2,45.09,1
"81","Q","889185",2020-09-02 20:24:49.2774,45.07,2,45.09,2
"82","Q","889187",2020-09-02 20:24:49.2792,45.07,2,45.09,1
